Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
2/8/2021,0.475,1/4/2021,,,,,,
2/9/2021,0.474,1/4/2021,,,,,,
2/10/2021,0.456,1/4/2021,,,,,,
2/11/2021,0.461,1/4/2021,,,,,,
2/12/2021,0.485,1/4/2021,,,,,,
2/16/2021,0.561,1/4/2021,,,,,,
2/17/2021,0.566,1/4/2021,,,,,,
2/18/2021,0.548,1/4/2021,,,,,,
2/19/2021,0.581,1/4/2021,,,,,,
2/22/2021,0.597,1/4/2021,,,,,,
2/24/2021,0.612,1/4/2021,,,,,,
2/25/2021,0.802,1/4/2021,,,,,,
2/26/2021,0.776,1/4/2021,,,,,,
3/1/2021,0.711,1/4/2021,,,,,,
3/2/2021,0.675,1/4/2021,,,,,,
3/3/2021,0.727,1/4/2021,,,,,,
3/4/2021,0.782,1/4/2021,,,,,,
3/5/2021,0.785,1/4/2021,,,,,,
3/8/2021,0.85,1/4/2021,,,,,,
3/9/2021,0.821,1/4/2021,,,,,,
3/10/2021,0.792,1/4/2021,,,,,,
3/11/2021,0.778,1/4/2021,,,,,,
3/12/2021,0.847,1/4/2021,,,,,,
3/15/2021,0.831,1/4/2021,,,,,,
3/16/2021,0.824,1/4/2021,,,,,,
3/17/2021,0.78,1/4/2021,,,,,,
3/18/2021,0.869,1/4/2021,,,,,,
3/19/2021,0.881,1/4/2021,,,,,,
3/22/2021,0.86,1/4/2021,,,,,,
3/23/2021,0.829,1/4/2021,,,,,,
3/25/2021,0.819,1/4/2021,,,,,,
3/26/2021,0.856,1/4/2021,,,,,,
3/29/2021,0.891,1/4/2021,,,,,,
3/30/2021,0.91,1/4/2021,,,,,,
4/1/2021,0.907,1/4/2021,,,,,,
4/5/2021,0.941,1/4/2021,,,,,,
4/6/2021,0.872,1/4/2021,,,,,,
4/7/2021,0.856,1/4/2021,,,,,,
4/8/2021,0.84,1/4/2021,,,,,,
4/9/2021,0.868,1/4/2021,,,,,,
4/12/2021,0.89,1/4/2021,,,,,,
4/13/2021,0.84,1/4/2021,,,,,,
4/14/2021,0.86,1/4/2021,,,,,,
4/15/2021,0.792,1/4/2021,,,,,,
4/19/2021,0.831,1/4/2021,,,,,,
4/20/2021,0.795,1/4/2021,,,,,,
4/21/2021,0.802,1/4/2021,,,,,,
4/22/2021,0.802,1/4/2021,,,,,,
4/23/2021,0.816,1/4/2021,,,,,,
4/26/2021,0.831,1/4/2021,,,,,,
4/27/2021,0.878,1/4/2021,,,,,,
4/28/2021,0.864,1/4/2021,,,,,,
4/29/2021,0.867,1/4/2021,,,,,,
4/30/2021,0.857,1/4/2021,,,,,,
5/3/2021,0.829,1/4/2021,,,,,,
5/4/2021,0.821,1/4/2021,,,,,,
5/5/2021,0.803,1/4/2021,,,,,,
5/6/2021,0.797,1/4/2021,,,,,,
5/7/2021,0.771,1/4/2021,,,,,,
5/10/2021,0.782,1/4/2021,,,,,,
5/11/2021,0.801,1/4/2021,,,,,,
5/12/2021,0.864,1/4/2021,,,,,,
5/13/2021,0.837,1/4/2021,,,,,,
5/17/2021,0.829,1/4/2021,,,,,,
5/18/2021,0.819,1/4/2021,,,,,,
5/19/2021,0.863,1/4/2021,,,,,,
5/20/2021,0.815,1/4/2021,,,,,,
5/21/2021,0.828,1/4/2021,,,,,,
5/24/2021,0.807,1/4/2021,,,,,,
5/25/2021,0.774,1/4/2021,,,,,,
5/26/2021,0.778,1/4/2021,,,,,,
5/27/2021,0.814,1/4/2021,,,,,,
5/28/2021,0.788,1/4/2021,,,,,,
6/1/2021,0.809,1/4/2021,,,,,,
6/2/2021,0.796,1/4/2021,,,,,,
6/3/2021,0.845,1/4/2021,,,,,,
6/4/2021,0.784,1/4/2021,,,,,,
6/7/2021,0.793,1/4/2021,,,,,,
6/8/2021,0.766,1/4/2021,,,,,,
6/9/2021,0.745,1/4/2021,,,,,,
6/10/2021,0.731,1/4/2021,,,,,,
6/11/2021,0.748,1/4/2021,,,,,,
6/14/2021,0.787,1/4/2021,,,,,,
6/15/2021,0.785,1/4/2021,,,,,,
6/16/2021,0.882,1/4/2021,,,,,,
6/17/2021,0.879,1/4/2021,,,,,,
6/18/2021,0.886,1/4/2021,,,,,,
6/21/2021,0.884,1/4/2021,,,,,,
6/22/2021,0.859,1/4/2021,,,,,,
6/23/2021,0.88,1/4/2021,,,,,,
6/24/2021,0.907,1/4/2021,,,,,,
6/25/2021,0.93,1/4/2021,,,,,,
6/28/2021,0.896,1/4/2021,,,,,,
6/29/2021,0.891,1/4/2021,,,,,,
6/30/2021,0.873,1/4/2021,,,,,,
7/1/2021,0.902,1/4/2021,,,,,,
7/6/2021,0.809,1/4/2021,,,,,,
7/7/2021,0.78,1/4/2021,,,,,,
7/8/2021,0.736,1/4/2021,,,,,,
7/9/2021,0.787,1/4/2021,,,,,,
7/12/2021,0.796,1/4/2021,,,,,,
7/13/2021,0.848,1/4/2021,,,,,,
7/14/2021,0.799,1/4/2021,,,,,,
7/15/2021,0.775,1/4/2021,,,,,,
7/16/2021,0.778,1/4/2021,,,,,,
7/19/2021,0.69,1/4/2021,,,,,,
7/20/2021,0.674,1/4/2021,,,,,,
7/21/2021,0.731,1/4/2021,,,,,,
7/22/2021,0.712,1/4/2021,,,,,,
7/23/2021,0.718,1/4/2021,,,,,,
7/26/2021,0.713,1/4/2021,,,,,,
7/27/2021,0.694,1/4/2021,,,,,,
7/28/2021,0.74,1/4/2021,,,,,,
7/29/2021,0.73,1/4/2021,,,,,,
7/30/2021,0.703,1/4/2021,,,,,,
8/2/2021,0.651,1/4/2021,,,,,,
8/3/2021,0.651,1/4/2021,,,,,,
8/4/2021,0.675,1/4/2021,,,,,,
8/5/2021,0.719,1/4/2021,,,,,,
8/6/2021,0.765,1/4/2021,,,,,,
8/9/2021,0.792,1/4/2021,,,,,,
8/10/2021,0.823,1/4/2021,,,,,,
8/11/2021,0.802,1/4/2021,,,,,,
8/12/2021,0.831,1/4/2021,,,,,,
8/13/2021,0.788,1/4/2021,,,,,,
8/16/2021,0.751,1/4/2021,,,,,,
8/17/2021,0.764,1/4/2021,,,,,,
8/18/2021,0.778,1/4/2021,,,,,,
8/19/2021,0.765,1/4/2021,,,,,,
8/20/2021,0.785,1/4/2021,,,,,,
8/23/2021,0.772,1/4/2021,,,,,,
8/24/2021,0.793,1/4/2021,,,,,,
8/25/2021,0.819,1/4/2021,,,,,,
8/26/2021,0.843,1/4/2021,,,,,,
8/27/2021,0.8,1/4/2021,,,,,,
8/30/2021,0.771,1/4/2021,,,,,,
9/1/2021,0.78,1/4/2021,,,,,,
9/2/2021,0.776,1/4/2021,,,,,,
9/3/2021,0.785,1/4/2021,,,,,,
9/7/2021,0.819,1/4/2021,,,,,,
9/8/2021,0.806,1/4/2021,,,,,,
9/9/2021,0.787,1/4/2021,,,,,,
9/10/2021,0.816,1/4/2021,,,,,,
9/13/2021,0.805,1/4/2021,,,,,,
9/14/2021,0.779,1/4/2021,,,,,,
9/15/2021,0.8,1/4/2021,,,,,,
9/16/2021,0.834,1/4/2021,,,,,,
9/17/2021,0.866,1/4/2021,,,,,,
9/20/2021,0.821,1/4/2021,,,,,,
9/21/2021,0.829,1/4/2021,,,,,,
9/22/2021,0.872,1/4/2021,,,,,,
9/23/2021,0.929,1/4/2021,,,,,,
9/24/2021,0.957,1/4/2021,,,,,,
9/27/2021,0.983,1/4/2021,,,,,,
9/28/2021,1.023,1/4/2021,,,,,,
9/29/2021,1.012,1/4/2021,,,,,,
9/30/2021,0.997,1/4/2021,,,,,,
10/1/2021,0.941,1/4/2021,,,,,,
10/4/2021,0.944,1/4/2021,,,,,,
10/5/2021,0.978,1/4/2021,,,,,,
10/7/2021,1.019,1/4/2021,,,,,,
10/8/2021,1.048,1/4/2021,,,,,,
10/11/2021,1.06,1/4/2021,,,,,,
10/12/2021,1.074,1/4/2021,,,,,,
10/13/2021,1.087,1/4/2021,,,,,,
10/14/2021,1.05,1/4/2021,,,,,,
10/15/2021,1.122,1/4/2021,,,,,,
10/18/2021,1.162,1/4/2021,,,,,,
10/19/2021,1.157,1/4/2021,,,,,,
